company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,7.7 million,count,2022-01-01 to 2022-12-31,filing,7.7 million,MEDIUM,unknown,False,ACCEPT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,6.2,count,2023-04-01 to 2023-06-30,filing,6.2,LOW,cover,False,REJECT,this is a multiple of the average gross transaction volume (GTV)
Maplebear Inc.,CART,2023-09-15,cm_purchase_transactions_overall,262.6 million,count,2022-01-01 to 2022-12-31,filing,262.6 million,MEDIUM,unknown,False,EDIT,wrong metric
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,13,other,other,filing,13,LOW,cover,False,REJECT,could not find a customer metric like this
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,26,other,other,filing,26,LOW,unknown,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,57,other,other,filing,57,LOW,cover,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,67,other,other,filing,67,LOW,mda,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,79,other,other,filing,79,LOW,mda,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,101,other,other,filing,101,LOW,mda,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,151,other,other,filing,151,LOW,mda,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,114,other,other,filing,114,LOW,unknown,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,27,other,2023-06-30,filing,27,MEDIUM,cover,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,52,other,2023-04-01 to 2023-06-30,filing,52,LOW,cover,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,30,other,2023-04-01 to 2023-06-30,filing,30,LOW,cover,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,146,other,2022-01-01 to 2022-12-31,filing,146,MEDIUM,unknown,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_customers_period_end,32,other,other,filing,32,LOW,cover,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_purchase_transactions_overall,-19,other,other,filing,-19,LOW,mda,False,REJECT,purchase transactions cannot be a negative number
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,2.3%,percent,other,filing,2.3%,LOW,mda,False,REJECT,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,1.5%,percent,other,filing,1.5%,LOW,mda,False,REJECT,
