company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.2 million,count,2021-05-01,text,3.2 million,"temporary store closures due to the COVID-19 pandemic during the three months ended May 2, 2020. Active customers increased 0.2 million, or 6.5%, to 3.4 million as of May 1, 2021, from","as of May 2, 2020. Net sales per active customer increased by 14% from $291 as of May 2, 2020 to $331 as of May 1, 2021. The total number of stores we operate increased by 1 store, or 0.1%, to 608 sto",,,MEDIUM,mda,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.0 million,count,2020-05-02,html_table,3.0 million,,,"Total active customers grew 11% year-over-year from 3.0 million in 2018 to 3.4 million in 2019. In 2020, total
active customers declined by 5% to 3.2 million, as a number of customers held off on making purchases in 2020. Total active customers grew 6% year-over-year from 3.2 million as of May 2, 2020 to 3.4 million as of May 1, 2021;",,MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.4 million,count,2020-05-02,html_table,3.4 million,,,"Total active customers grew 11% year-over-year from 3.0 million in 2018 to 3.4 million in 2019. In 2020, total
active customers declined by 5% to 3.2 million, as a number of customers held off on making purchases in 2020. Total active customers grew 6% year-over-year from 3.2 million as of May 2, 2020 to 3.4 million as of May 1, 2021;",,MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,2.9 million,count,other,text,2.9 million,Our customers are exceptionally loyal: The,active customers in our loyalty program generated 95% of net sales in 2020.,,,LOW,mda,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,0.2 million,count,2021-05-01,text,0.2 million,"temporary store closures due to the COVID-19 pandemic during the three months ended May 2, 2020. Active customers increased",", or 6.5%, to 3.4 million as of May 1, 2021, from 3.2 million as of May 2, 2020. Net sales per active customer increased by 14% from $291 as of May 2, 2020 to $331 as of May 1, 2021. The total number",,,MEDIUM,mda,False,REJECT,increase in customers
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,0.4 million,count,other,text,0.4 million,"127.8 million, or 14.1%, to $1,037.0 million, from $909.1 million for 2018. This increase was primarily driven by growth in orders placed, and growth in average order value. Active customers increased",", or 11%, to 3.4 million at the end of 2019, from 3.0 million at the end of 2018. Net sales per active customer increased by 3% from $299 in 2018 to $308 in 2019. Comparable sales increased 12.8%. The",,,LOW,mda,False,REJECT,increase
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.4,count,2019-03-01 to 2020-02-01,html_table,3.4,,,"Fiscal Year Ended > February 1,2020 > (dollars in thousands, except where noted)",Active customers (# in millions),MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.2,count,2020-02-01 to 2021-01-30,html_table,3.2,,,"Fiscal Year Ended > January 30,2021 > (dollars in thousands, except where noted)",Active customers (# in millions),MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.0,count,2018-03-01 to 2019-02-02,html_table,3.0,,,"Fiscal Year Ended > February 2,2019 > (dollars in thousands, except where noted)",Active customers (# in millions),MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"1,202",count,2018-03-01 to 2019-02-02,text,"1,202",djusted EBITDA margin(4) 11 % 13 % 10 % (5 %) 23 % Comparable sales 10 % 13 % (7 %) (38 %) 108 % Active customers (# in millions) 3.0 3.4 3.2 3.2 3.4 Store count (#) 577 607 608 607 608 As of February,"0 January 30,2021 May 1,2021 (dollars in thousands) Balance Sheet Data: Cash and cash equivalents $ 28,804 $ 122,953 $ 190,782 Total current assets 164,013 242,143 319,974 Total current liabilities 18",,,LOW,cover,False,REJECT,part of a date
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,038",count,2019-02-02,html_table,"3,038",,,"Year Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > February 2,2019","Active customers (as of end of
period)(A)",MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"96,985",count,2019-02-02,html_table,"96,985",,,"Year Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > February 2,2019",Adjusted EBITDA > $,MEDIUM,unknown,False,REJECT,wrong row. this is EBITDA. Table problem
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,364",count,2020-02-01,html_table,"3,364",,,"Year Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > February 1,2020","Active customers (as of end of
period)(A)",MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"131,999",count,2020-02-01,html_table,"131,999",,,"Year Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > February 1,2020",Adjusted EBITDA > $,MEDIUM,unknown,False,REJECT,wrong row. this is ebitda
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,182",count,2021-01-30,html_table,"3,182",,,"Year Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > January 30,2021","Active customers (as of end of
period)(A)",MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"100,802",count,2021-01-30,html_table,"100,802",,,"Year Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > January 30,2021",Adjusted EBITDA > $,MEDIUM,unknown,False,REJECT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,238",count,2020-01-01 to 2020-03-31,html_table,"3,238",,,"Three Months Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > May 2,2020","Active customers (as of end of
period)(A)",MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"8,198",count,2020-01-01 to 2020-03-31,html_table,"8,198",,,"Three Months Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > May 2,2020",Adjusted EBITDA > $,MEDIUM,unknown,False,REJECT,ebitda
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,448",count,2021-01-01 to 2021-03-31,html_table,"3,448",,,"Three Months Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > May 1,2021","Active customers (as of end of
period)(A)",MEDIUM,unknown,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"75,711",count,2021-01-01 to 2021-03-31,html_table,"75,711",,,"Three Months Ended > (in thousands, except net sales per active customer, number ofstores and percentages) > May 1,2021",Adjusted EBITDA > $,MEDIUM,unknown,False,REJECT,ebitda
Torrid Holdings Inc.,CURV,2021-06-30,cm_customers_period_end,3.2 million,count,other,text,3.2 million,"rth America by net sales. We grew our net sales by 8% CAGR between 2017 and 2020, making us among the fastest growing direct-to-consumer brands in the plus-size apparel and intimates market. We served",active customers and generated net sales of $974 million in 2020. Our proprietary product offering delivers a superior fit for the curvy woman that makes her love the way she looks and feels. We offer,,,LOW,mda,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_customers_period_end,2.9 million,count,other,text,2.9 million,"A Deep Connection to Our Loyal and Passionate Customer. We form long-standing relationships with our customers, who are empowered by their Torrid experience and reward us with their loyalty. In 2020,","out of our approximately 3.2 million active customers were members of our loyalty program, accounting for 95% of net sales. Members of the top two tiers of our loyalty program, Torrid VIP and Loyalist",,,LOW,mda,False,ACCEPT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.4 million,count,2021-05-01,text,3.4 million,"and intimates market. Further, the number of women in this size range is growing fastest among women under 45 as well as women with higher incomes, according to U.S. government agencies. Based on our","active customers as of May 1, 2021, we believe Torrid is less than 4% penetrated among U.S. plus-size women and has a significant opportunity to expand share in this growing market. Plus Size Women Ar",,,LOW,cover,False,EDIT,
Torrid Holdings Inc.,CURV,2021-06-30,cm_customers_period_end,-19,other,other,text,-19,Buy One Get One 50% Off”). We believe our data-driven approach will continue to drive market growth and market share gains with our rapidly growing and underserved customer base. Response to the COVID,"Pandemic Commencing in December 2019, the novel strain of coronavirus, COVID-19, spread rapidly throughout the world. The global crisis resulting from the spread of COVID-19 has disrupted, and continu",,,LOW,cover,False,REJECT,COVID-19 is not a metric
Torrid Holdings Inc.,CURV,2021-06-30,cm_customers_period_end,10,other,other,text,10,"es of younger generations who are frustrated with being ignored by other brands. Our marketing collateral intentionally represents the diversity of our customer base, including women of all sizes from","to 30, and communicates the confidence and sexiness our product is intended to deliver.",,,LOW,mda,False,REJECT,sizes
Torrid Holdings Inc.,CURV,2021-06-30,cm_customers_period_end,30,other,other,text,30,"younger generations who are frustrated with being ignored by other brands. Our marketing collateral intentionally represents the diversity of our customer base, including women of all sizes from 10 to",", and communicates the confidence and sexiness our product is intended to deliver.",,,LOW,mda,False,REJECT,sizes
Torrid Holdings Inc.,CURV,2021-06-30,cm_customer_acquisition_cost,($32),currency,other,chart,($32),"Table of Contents To measure the effectiveness of our marketing spend, we analyze customer acquisition cost (also known as CAC), and customer lifetime value (also known as LTV). We manage CAC methodic",,,,LOW,unknown,False,EDIT,wrong metric
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$82,currency,other,chart,$82,"Table of Contents To measure the effectiveness of our marketing spend, we analyze customer acquisition cost (also known as CAC), and customer lifetime value (also known as LTV). We manage CAC methodic",,,,LOW,unknown,False,EDIT,this chart shows LTV of customers at each year of tenure
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$124,currency,other,chart,$124,"Table of Contents To measure the effectiveness of our marketing spend, we analyze customer acquisition cost (also known as CAC), and customer lifetime value (also known as LTV). We manage CAC methodic",,,,LOW,unknown,False,EDIT,lifetime value chart
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$163,currency,other,chart,$163,"Table of Contents To measure the effectiveness of our marketing spend, we analyze customer acquisition cost (also known as CAC), and customer lifetime value (also known as LTV). We manage CAC methodic",,,,LOW,unknown,False,EDIT,lifetime value chart
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$203,currency,other,chart,$203,"Table of Contents To measure the effectiveness of our marketing spend, we analyze customer acquisition cost (also known as CAC), and customer lifetime value (also known as LTV). We manage CAC methodic",,,,LOW,unknown,False,EDIT,lifetime value chart
