company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,30,percent,2018-06-30,text,30,MEDIUM,cover,False,REJECT,could not find this in the text (other than dates)
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,146%,percent,2018-06-30,text,146%,MEDIUM,cover,False,ACCEPT,
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,141%,percent,2018-06-30,text,141%,MEDIUM,cover,False,ACCEPT,
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,151%,percent,2018-06-30,text,151%,MEDIUM,cover,False,ACCEPT,
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,146%,percent,2018-06-30,text,146%,MEDIUM,cover,False,EDIT,"not customers, net revenue retention"
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,141%,percent,2018-06-30,text,141%,MEDIUM,cover,False,EDIT,wrong metric
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,151%,percent,2018-06-30,text,151%,MEDIUM,cover,False,EDIT,"NRR, not customer retention"
"Datadog, Inc.",DDOG,2019-09-17,cm_gross_revenue_retention,90%,percent,other,text,90%,LOW,cover,False,EDIT,"""dollar-based gross retention rate"" not customer retention"
"Datadog, Inc.",DDOG,2019-09-17,cm_arr,"$100,000",currency,2019-06-30,text,"$100,000",MEDIUM,cover,False,REJECT,"this is part of the definition of ""large customers"" -- defines the threshold for calculating which customers are counted in cm_large_customers_period_end"
"Datadog, Inc.",DDOG,2019-09-17,cm_arr,$1.0 million,currency,2019-06-30,text,$1.0 million,MEDIUM,cover,False,REJECT,"this is the definition of large customers ""we had 42 customers with ARR of $1.0 million or more"", not the actual ARR"
"Datadog, Inc.",DDOG,2019-09-17,cm_arr,"$200,000",currency,2019-06-30,text,"$200,000",MEDIUM,cover,False,REJECT,metric_deprecated
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,$4.8 million,currency,2014-12-31,text,$4.8 million,MEDIUM,cover,False,EDIT,"This is for one cohort of customers (""this cohort increased their ARR from $4.8 million as of December 31, 2014 to ..."")"
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,$19.2 million,currency,2014-12-31,text,$19.2 million,MEDIUM,cover,False,EDIT,"This is for one cohort of customers (""this cohort increased their ARR from $4.8 million as of December 31, 2014 to $19.2 million..."")"
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_concentration,14%,percent,2019-06-30,text,14%,MEDIUM,cover,False,ACCEPT,
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_concentration,5%,percent,2019-06-30,text,5%,MEDIUM,cover,False,ACCEPT,
"Datadog, Inc.",DDOG,2019-09-17,cm_customers_period_end,31,other,2018-12-31,text,31,LOW,cover,False,REJECT,this is almost certainly part of a date
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,60%,percent,2019-01-01 to 2019-06-30,text,60%,MEDIUM,cover,False,ACCEPT,
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,60%,percent,2018-01-01 to 2018-12-31,text,60%,MEDIUM,cover,False,ACCEPT,
"Datadog, Inc.",DDOG,2019-09-17,cm_large_customers_period_end,"5,000",count,2019-06-30,text,"5,000",LOW,cover,False,REJECT,"definition of large customer, not number of large customers"
"Datadog, Inc.",DDOG,2019-09-17,cm_customers_period_end,20 million,count,other,text,20 million,LOW,cover,False,REJECT,"this one is hard: it's the number of customers another company (a customer of DDOG), not the number DDOG has"
"Datadog, Inc.",DDOG,2019-09-17,cm_customers_period_end,"145,000",count,other,text,"145,000",LOW,cover,False,REJECT,"this is the number of paid customers another company (a customer of DDOG) has, not the number DDOG has"
"Datadog, Inc.",DDOG,2019-09-17,cm_customers_period_end,"8,800",count,2019-06-30,text,"8,800",MEDIUM,unknown,False,EDIT,wrong metric
"Datadog, Inc.",DDOG,2019-09-17,cm_new_customers_acquired,$333MM,other,other,chart,$333MM,LOW,unknown,False,REJECT,"could not find this value outside of images -- it is not a customer count, but a revenue (currency) amount"
