company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
GTLB,GTLB,2021-10-12,cm_customers_period_end,"3,632",count,2020-07-31,text,"3,632","ase of 64%, and our $1.0 million ARR customers increased from 11 as of January 31, 2020 to 20 as of January 31, 2021, an increase of 82%. Our Base Customers increased from 2,126 as of July 31, 2020 to","as of July 31, 2021, an increase of 71%, our $100,000 ARR customers increased from 219 as of July 31, 2020 to 383 as of July 31, 2021, an increase of 75%, and our $1.0 million ARR customers increased",,,MEDIUM,mda,False,,
GTLB,GTLB,2021-10-12,cm_customers_period_end,"2,745",count,2020-01-31,text,"2,745","form and embrace a single application approach, creating a substantial opportunity to continue to grow our customer base. As a result, our Base Customers increased from 1,662 as of January 31, 2020 to","as of January 31, 2021, an increase of 65%, our $100,000 ARR customers increased from 173 as of January 31, 2020 to 283 as of January 31, 2021, an increase of 64%, and our $1.0 million ARR customers i",,,MEDIUM,mda,False,,
GTLB,GTLB,2021-10-12,cm_customers_period_end,"2,126",count,2020-07-31,text,"2,126","of January 31, 2021, an increase of 64%, and our $1.0 million ARR customers increased from 11 as of January 31, 2020 to 20 as of January 31, 2021, an increase of 82%. Our Base Customers increased from","as of July 31, 2020 to 3,632 as of July 31, 2021, an increase of 71%, our $100,000 ARR customers increased from 219 as of July 31, 2020 to 383 as of July 31, 2021, an increase of 75%, and our $1.0 mil",,,MEDIUM,mda,False,,
GTLB,GTLB,2021-10-12,cm_customers_period_end,"1,662",count,2020-01-31,text,"1,662","ons will switch to a DevOps platform and embrace a single application approach, creating a substantial opportunity to continue to grow our customer base. As a result, our Base Customers increased from","as of January 31, 2020 to 2,745 as of January 31, 2021, an increase of 65%, our $100,000 ARR customers increased from 173 as of January 31, 2020 to 283 as of January 31, 2021, an increase of 64%, and",,,MEDIUM,mda,False,,
GTLB,GTLB,2021-10-12,cm_customers_period_end,"3,632",count,2020-01-31,text,"3,632","Ops Platform and general awareness of our business. Our customer growth is best represented by our growth in our Base Customers from 1,662 as of January 31, 2020 to 2,745 as of January 31, 2021 and to","as of July 31, 2021. No single customer generated more than 5% of our total revenue in any of the periods presented.",,,MEDIUM,mda,False,,
GTLB,GTLB,2021-10-12,cm_customers_period_end,31,other,2020-01-31,text,31,"15,310 as of January 31, 2021 and 15,356 as of July 31, 2021. However, we believe our customer growth is best represented by the number of our Base Customers, which increased from 1,662 as of January",", 2020 to 2,745 as of January 31, 2021, and to 3,632 as of July 31, 2021. In 2019 we began to invest more heavily in our enterprise sales motion and have had strong success in attracting, retaining, a",,,MEDIUM,mda,False,,
GTLB,GTLB,2021-10-12,cm_customers_period_end,20,other,2020-01-31,text,20,"mers generating $5,000 or more in annual recurring revenue, or ARR, which we refer to as Base Customers, grew from 1,662 as of January 31, 2020 to 2,745 as of January 31, 2021 and 3,632 as of July 31,","21. Our business has experienced rapid growth. We generated revenue of $81.2 million and $152.2 million in fiscal 2020 and 2021, respectively, representing growth of 87%. We generated revenue of $63.9",,,LOW,cover,False,,
GTLB,GTLB,2021-10-12,cm_customers_period_end,30,other,other,text,30,"ill need to continue to invest in sales and marketing, research and development, and customer support to further grow our customer base, both domestically and internationally. We believe our estimated",,,,LOW,mda,False,,
GTLB,GTLB,2021-10-12,cm_net_revenue_retention,179%,percent,2020-01-01 to 2020-12-31,html_table,179%,,,,Dollar-Based Net Retention Rate > Dollar-Based Net Retention Rate > Dollar-Based Net Retention Rate,MEDIUM,unknown,False,,
GTLB,GTLB,2021-10-12,cm_net_revenue_retention,153%,percent,2021-07-31,html_table,153%,,,,Dollar-Based Net Retention Rate > Dollar-Based Net Retention Rate > Dollar-Based Net Retention Rate,MEDIUM,unknown,False,,
