company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$5,000",currency,2020-01-31,text,"$5,000",MEDIUM,mda,False,REJECT,"this is the definition of large customers (""Our cohort of customers generating $5,000 or more in annual recurring revenue..."")"
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$100K,currency,2020-01-31,html_table,$100K,LOW,unknown,False,REJECT,"this is the definition of large customers (""We believe that our ability to increase the number of $100,000 ARR customers is an indicator of our market penetration and strategic demand..."")"
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$1.0 million,currency,2020-01-31,text,$1.0 million,MEDIUM,mda,False,REJECT,"definition of large customers (""First $1.0 million ARR customer"")"
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$100,000",currency,2020-07-31,text,"$100,000",MEDIUM,mda,False,REJECT,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$1.0 million,currency,2020-07-31,text,$1.0 million,MEDIUM,mda,False,REJECT,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$0 per user per month,currency,other,chart,$0 per user per month,LOW,unknown,False,REJECT,pricing
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$19 per user per month,currency,other,chart,$19 per user per month,LOW,unknown,False,REJECT,pricing
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$99 per user per month,currency,other,chart,$99 per user per month,LOW,unknown,False,REJECT,pricing
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$5,000",currency,2021-01-01 to 2021-12-31,text,"$5,000",MEDIUM,mda,False,REJECT,definition of large customers
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$100,000",currency,2021-07-31,text,"$100,000",MEDIUM,mda,False,REJECT,definition of large customers
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$100,000",currency,2021-01-31,text,"$100,000",MEDIUM,mda,False,REJECT,definition of large customers
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,"1,662",count,2020-01-31,text,"1,662",LOW,cover,False,EDIT,"this is a count, not revenue (which would generally be currency)"
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,"2,745",count,2020-01-31,text,"2,745",LOW,cover,False,EDIT,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,148,percent,2021-01-31,html_table,148,LOW,unknown,False,ACCEPT,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,152,percent,2021-01-31,html_table,152,LOW,unknown,False,ACCEPT,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,179,percent,2020-07-31,html_table,179,LOW,unknown,False,ACCEPT,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,148%,percent,2020-01-01 to 2020-12-31,text,148%,MEDIUM,mda,False,ACCEPT,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,153%,percent,2020-07-31,text,153%,MEDIUM,mda,False,ACCEPT,
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,173,percent,2020-07-31,text,173,MEDIUM,cover,False,EDIT,"this is not a percent, it's a count. there is no indication of it being a percent"
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,283,percent,2020-07-31,text,283,MEDIUM,cover,False,EDIT,"this is a count, not a percent"
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,383,count,2020-07-31,text,383,MEDIUM,cover,False,EDIT,this is a count not a percent
Gitlab Inc.,GTLB,2021-10-12,cm_revenue_by_cohort,25%,percent,2021-01-31,text,25%,MEDIUM,cover,False,REJECT,"this is the definition of how they calculate something (""from the top 25% of customers in each of these categories"")"
Gitlab Inc.,GTLB,2021-10-12,cm_customers_period_end,"1,662",count,2020-01-31,text,"1,662",LOW,mda,False,ACCEPT,
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,173,count,2020-01-31,text,173,MEDIUM,mda,False,EDIT,"customers over $100,000 ARR - large customers"
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,283,count,2020-01-31,text,283,MEDIUM,mda,False,EDIT,
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,11,count,2020-01-31,text,11,MEDIUM,mda,False,EDIT,"large customers (""our $1.0 million ARR customers increased from 11 as of January 31, 2020..."")"
