company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,389.4,count,2026-01-01 to 2026-03-31,text,389.4,"ated Customer Account Transfer Service (“ACATS”)) for a stated period.Three Months EndedJune 30,(in millions)20202021Beginning balance$19,220.1 $80,932.4 Net Deposits8,812.0 9,951.7 Net market gains5,","11,150.7 Ending balance$33,421.5 $102,034.8 (5)Average Revenues Per User (“ARPU”): We define ARPU as total revenue for a given period (or, in the case of ARPU for a given cohort, total revenue generat",,,LOW,cover,False,,
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,9.8,count,other,text,9.8,"e business plans and make strategic decisions:Year or Month EndedDecember 31,Three Months or Month Ended June 30,(in millions except for ARPU)2019202020202021Net Cumulative Funded Accounts(1)5.1 12.5","22.5 Monthly Active Users (MAU)(2)4.3 11.7 10.2 21.3 Assets Under Custody (AUC)(3)$14,135.6 $62,978.5 $33,421.5 $102,034.8 Average Revenues Per User (ARPU)(4)$65.7 $108.9 $115.2 $111.7 _______________",,,LOW,cover,False,,
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,5.1,count,other,text,5.1,"formulate business plans and make strategic decisions:Year or Month EndedDecember 31,Three Months or Month Ended June 30,(in millions except for ARPU)2019202020202021Net Cumulative Funded Accounts(1)","12.5 9.8 22.5 Monthly Active Users (MAU)(2)4.3 11.7 10.2 21.3 Assets Under Custody (AUC)(3)$14,135.6 $62,978.5 $33,421.5 $102,034.8 Average Revenues Per User (ARPU)(4)$65.7 $108.9 $115.2 $111.7 ______",,,LOW,cover,False,,
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,4.3,count,other,text,4.3,"cisions:Year or Month EndedDecember 31,Three Months or Month Ended June 30,(in millions except for ARPU)2019202020202021Net Cumulative Funded Accounts(1)5.1 12.5 9.8 22.5 Monthly Active Users (MAU)(2)","11.7 10.2 21.3 Assets Under Custody (AUC)(3)$14,135.6 $62,978.5 $33,421.5 $102,034.8 Average Revenues Per User (ARPU)(4)$65.7 $108.9 $115.2 $111.7 ________________(1)Net Cumulative Funded Accounts. W",,,LOW,cover,False,,
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,12.5,count,other,text,12.5,"mulate business plans and make strategic decisions:Year or Month EndedDecember 31,Three Months or Month Ended June 30,(in millions except for ARPU)2019202020202021Net Cumulative Funded Accounts(1)5.1","9.8 22.5 Monthly Active Users (MAU)(2)4.3 11.7 10.2 21.3 Assets Under Custody (AUC)(3)$14,135.6 $62,978.5 $33,421.5 $102,034.8 Average Revenues Per User (ARPU)(4)$65.7 $108.9 $115.2 $111.7 ___________",,,LOW,cover,False,,
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,$115.2,currency,other,text,$115.2,•we had Average Revenues Per User (ARPU) of $111.7 compared to,", for year-over-year decrease of 3%.",,,LOW,mda,False,,
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,$111.7,currency,other,text,$111.7,•we had Average Revenues Per User (ARPU) of,"compared to $115.2, for year-over-year decrease of 3%.",,,LOW,mda,False,,
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,$65.7,currency,other,text,$65.7,"Cumulative Funded Accounts(1)5.1 12.5 9.8 22.5 Monthly Active Users (MAU)(2)4.3 11.7 10.2 21.3 Assets Under Custody (AUC)(3)$14,135.6 $62,978.5 $33,421.5 $102,034.8 Average Revenues Per User (ARPU)(4)",$108.9 $115.2 $111.7 ________________(1)Net Cumulative Funded Accounts. We define Net Cumulative Funded Accounts as the total of Net Funded Accounts from inception to a stated date or period end. “Net,,,LOW,cover,False,,
HOOD,HOOD,2021-10-08,cm_revenue_per_customer,$108.9,currency,other,text,$108.9,"tive Funded Accounts(1)5.1 12.5 9.8 22.5 Monthly Active Users (MAU)(2)4.3 11.7 10.2 21.3 Assets Under Custody (AUC)(3)$14,135.6 $62,978.5 $33,421.5 $102,034.8 Average Revenues Per User (ARPU)(4)$65.7",$115.2 $111.7 ________________(1)Net Cumulative Funded Accounts. We define Net Cumulative Funded Accounts as the total of Net Funded Accounts from inception to a stated date or period end. “Net Funded,,,LOW,cover,False,,
HOOD,HOOD,2021-10-08,cm_monthly_active_users,4.3,count,2019-01-01 to 2019-12-31,html_table,4.3,,,"Year Ended December 31, > 2019 > 5.1 > 4.3",Monthly Active Users (MAU)(2),MEDIUM,unknown,False,,
