company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
IOT,IOT,2021-12-06,cm_large_customers_period_end,715,other,2021-08-01 to 2021-10-30,html_table,715,,,"Fiscal Quarter Ended > October 30,2021","Customers > $100,000 ARR",HIGH,unknown,False,,
IOT,IOT,2021-12-06,cm_large_customers_period_end,452,other,2020-02-01 to 2021-01-30,html_table,452,,,"Fiscal Year Ended > January 30,2021 > (dollarsinthousands)","Customers > $100,000 ARR",HIGH,unknown,False,,
IOT,IOT,2021-12-06,cm_large_customers_period_end,390,other,2020-02-01 to 2020-10-31,html_table,390,,,"Nine Months Ended > October 31,2020 > (dollarsinthousands)","Customers > $100,000 ARR",HIGH,unknown,False,,
IOT,IOT,2021-12-06,cm_large_customers_period_end,255,other,2019-03-01 to 2020-02-01,html_table,255,,,"Fiscal Year Ended > February 1,2020 > (dollarsinthousands)","Customers > $100,000 ARR",HIGH,unknown,False,,
IOT,IOT,2021-12-06,cm_large_customers_period_end,715,other,2019-02-02,text,715,"products, have higher retention rates, and demonstrate stronger unit economics. The number of our customers representing over $100,000 in ARR has increased over time from 64 as of February 2, 2019 to","customers as of October 30, 2021. Customers representing over $100,000 in ARR generally adopt more Applications than our overall customer base. For example, 89% of these customers use 2 or more Applic",,,MEDIUM,mda,False,,
IOT,IOT,2021-12-06,cm_large_customers_period_end,64,other,2019-02-02,text,64,"r revenue, land with multiple products, have higher retention rates, and demonstrate stronger unit economics. The number of our customers representing over $100,000 in ARR has increased over time from","as of February 2, 2019 to 715 customers as of October 30, 2021. Customers representing over $100,000 in ARR generally adopt more Applications than our overall customer base. For example, 89% of these",,,MEDIUM,mda,False,,
IOT,IOT,2021-12-06,cm_large_customers_period_end,715,other,2019-03-01 to 2020-02-01,text,715,"nded February 1,2020 January 30,2021 October 31,2020 October 30,2021 (dollars in thousands) Annual recurring revenue (ARR) $ 194,366 $ 341,198 $ 293,052 $ 492,838 Customers > $100,000 ARR 255 452 390","Non-GAAP loss from operations $ (219,609 ) $ (177,147 ) $ (145,665 ) (96,591 ) Non-GAAP net loss $ (217,015 ) $ (177,876 ) $ (145,503 ) (96,737 ) Adjusted free cash flow $ (216,107 ) $ (189,552 ) $ (1",,,LOW,cover,False,,
IOT,IOT,2021-12-06,cm_customers_period_end,"25,000",count,2021-10-30,html_table,"25,000",,,"Expand Within Our Existing Customer Base.As of October 30, 2021, approximately 52% of our over
25,000 customers used two or more Applications. We see a significant opportunity to expand Application adoption, increase the number of physical assets integrated with our Connected Operations Cloud, and expand across our customers’ sites and
divisions. We will continue to educate our customers on the benefits of using our other Applications and leveraging our Connected Operations Cloud.",,MEDIUM,unknown,False,,
IOT,IOT,2021-12-06,cm_customers_period_end,"25,000",count,2020-02-01,text,"25,000","As our business has scaled, our customer base has grown from over 10,000 total customers as of February 1, 2020 to over","total customers as of October 30, 2021. We define a customer as an entity which has an ARR of greater than $1,000 as of the end of the fiscal period. As of October 30, 2021, we had more than 13,000 cu",,,MEDIUM,mda,False,,
IOT,IOT,2021-12-06,cm_customers_period_end,"10,000",count,2020-02-01,text,"10,000","As our business has scaled, our customer base has grown from over","total customers as of February 1, 2020 to over 25,000 total customers as of October 30, 2021. We define a customer as an entity which has an ARR of greater than $1,000 as of the end of the fiscal peri",,,MEDIUM,mda,False,,
IOT,IOT,2021-12-06,cm_net_revenue_retention,44%,percent,2021-10-30,text,44%,"and 45% use 3 or more Applications as of October 30, 2021. As of October 30, 2021, the dollar-based net retention rate for customers representing over $100,000 in ARR was over 125%, and approximately","of our ARR came from customers representing over $100,000 in ARR.",,,MEDIUM,mda,False,,
IOT,IOT,2021-12-06,cm_net_revenue_retention,125%,percent,2021-10-30,text,125%,"e 2 or more Applications and 45% use 3 or more Applications as of October 30, 2021. As of October 30, 2021, the dollar-based net retention rate for customers representing over $100,000 in ARR was over",", and approximately 44% of our ARR came from customers representing over $100,000 in ARR.",,,MEDIUM,mda,False,,
IOT,IOT,2021-12-06,cm_net_revenue_retention,115%,percent,2021-10-30,text,115%,"ted Operations Cloud and encourage full-scale rollouts across their geographies and divisions. We measure expansion within our existing customer base by dollar-based net retention rate, which was over","as of October 30, 2021.",,,MEDIUM,mda,False,,
