company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,161,percent,2020-01-01 to 2020-06-30,html_table,161,,,,Net dollar retention rate of Public Cloud Service Premium Customers(1),LOW,unknown,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,155,percent,2020-01-01 to 2020-06-30,html_table,155,,,,Net dollar retention rate of Public Cloud Service Premium Customers(1),LOW,unknown,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,112,percent,other,text,112,"perating data for the periods indicated. For the Year EndedDecember 31, For the Six MonthsEnded June 30, 2017 2018 2019 2019 2020 Public Cloud Services Number of Public Cloud Service Premium Customers",139 175 155 184 Net dollar retention rate of Public Cloud Service Premium Customers(1) — 161 % 155 % 182 % 152 % Enterprise Cloud Services Number of Enterprise Cloud Service Premium Customers 2 17 67,,,LOW,cover,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,139,percent,other,text,139,"ing data for the periods indicated. For the Year EndedDecember 31, For the Six MonthsEnded June 30, 2017 2018 2019 2019 2020 Public Cloud Services Number of Public Cloud Service Premium Customers 112",175 155 184 Net dollar retention rate of Public Cloud Service Premium Customers(1) — 161 % 155 % 182 % 152 % Enterprise Cloud Services Number of Enterprise Cloud Service Premium Customers 2 17 67 31 6,,,LOW,cover,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,175,percent,other,text,175,"data for the periods indicated. For the Year EndedDecember 31, For the Six MonthsEnded June 30, 2017 2018 2019 2019 2020 Public Cloud Services Number of Public Cloud Service Premium Customers 112 139",155 184 Net dollar retention rate of Public Cloud Service Premium Customers(1) — 161 % 155 % 182 % 152 % Enterprise Cloud Services Number of Enterprise Cloud Service Premium Customers 2 17 67 31 64 To,,,LOW,cover,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,182,percent,other,html_table,182,,,,Net dollar retention rate of Public Cloud Service Premium Customers(1),LOW,unknown,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,1,percent,other,text,1,"sEnded June 30, 2017 2018 2019 2019 2020 Public Cloud Services Number of Public Cloud Service Premium Customers 112 139 175 155 184 Net dollar retention rate of Public Cloud Service Premium Customers(",) — 161 % 155 % 182 % 152 % Enterprise Cloud Services Number of Enterprise Cloud Service Premium Customers 2 17 67 31 64 Total Number of Premium Customers 113 154 243 187 251 Average revenues per Prem,,,LOW,cover,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,43,percent,other,text,43,ic Cloud Service Premium Customers(1) — 161 % 155 % 182 % 152 % Enterprise Cloud Services Number of Enterprise Cloud Service Premium Customers 2 17 67 31 64 Total Number of Premium Customers 113 154 2,187 251 Average revenues per Premium Customer (RMB in million) 10.3 13.7 15.9 9.3 11.5 Note: (1) Net dollar retention rate of Public Cloud Service Premium Customers is calculated by dividing the reven,,,LOW,cover,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,251,percent,other,text,251,d Service Premium Customers(1) — 161 % 155 % 182 % 152 % Enterprise Cloud Services Number of Enterprise Cloud Service Premium Customers 2 17 67 31 64 Total Number of Premium Customers 113 154 243 187,Average revenues per Premium Customer (RMB in million) 10.3 13.7 15.9 9.3 11.5 Note: (1) Net dollar retention rate of Public Cloud Service Premium Customers is calculated by dividing the revenues from,,,LOW,cover,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,10.3,percent,other,text,10.3,nterprise Cloud Services Number of Enterprise Cloud Service Premium Customers 2 17 67 31 64 Total Number of Premium Customers 113 154 243 187 251 Average revenues per Premium Customer (RMB in million),"13.7 15.9 9.3 11.5 Note: (1) Net dollar retention rate of Public Cloud Service Premium Customers is calculated by dividing the revenues from our Public Cloud Service Premium Customers, who were also o",,,LOW,cover,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,13.7,percent,other,text,13.7,ise Cloud Services Number of Enterprise Cloud Service Premium Customers 2 17 67 31 64 Total Number of Premium Customers 113 154 243 187 251 Average revenues per Premium Customer (RMB in million) 10.3,"15.9 9.3 11.5 Note: (1) Net dollar retention rate of Public Cloud Service Premium Customers is calculated by dividing the revenues from our Public Cloud Service Premium Customers, who were also our Pu",,,LOW,cover,False,,
Kingsoft Cloud Holdings Ltd,KC,2020-09-23,cm_net_revenue_retention,15.9,percent,other,text,15.9,loud Services Number of Enterprise Cloud Service Premium Customers 2 17 67 31 64 Total Number of Premium Customers 113 154 243 187 251 Average revenues per Premium Customer (RMB in million) 10.3 13.7,"9.3 11.5 Note: (1) Net dollar retention rate of Public Cloud Service Premium Customers is calculated by dividing the revenues from our Public Cloud Service Premium Customers, who were also our Public",,,LOW,cover,False,,
