company,ticker,date,metric_id,value,unit,period,source_type,raw_text,context_before,context_after,header_path,stub_path,confidence,section,is_trap,disposition,disposition_reason
NETS,NETS,2017-03-21,cm_customers_period_end,325 million,count,2015-01-01 to 2015-12-31,html_table,325 million,,,"Latin America has the third largest online audience in the world.Internet penetration is rapidly growing in Latin America with 325 million Internet users in 2015, representing 53.1% penetration in the
region, according to eMarketer. The number of Internet users in Latin America grew at an 11.5% CAGR from 2010 to 2015, almost four times the growth in the United States at 3.1%. Additionally, network infrastructure in Latin America continues to
improve, driving higher levels of Internet penetration which is expected to reach 61.0% by 2019.",,MEDIUM,unknown,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,114 million,count,2015-01-01 to 2015-12-31,html_table,114 million,,,"Brazil alone has the fourth largest online audience in the world.In 2015, Brazil had 114 million Internet users. According to eMarketer, the portion of Brazil’s population that is connected to
the Internet is expected to grow at a 3.1% CAGR between 2015 and 2019, compared to 1.6% for the United States.",,MEDIUM,unknown,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,5.6 million,count,2015-12-31,html_table,5.6 million,,,"5.6 million active customers, an increase of 18.9% from the 4.7 million active customers we had as of December 31, 2015;",,MEDIUM,unknown,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,4.7 million,count,2015-12-31,html_table,4.7 million,,,"5.6 million active customers, an increase of 18.9% from the 4.7 million active customers we had as of December 31, 2015;",,MEDIUM,unknown,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,5.6 million,count,2016-12-31,text,5.6 million,With,"active customers as of December 31, 2016, a highly recognized consumer brand and a large selection of verticals and products, we attract a highly diversified customer base as measured across multiple",,,MEDIUM,mda,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,18.3 million,count,2016-12-31,text,18.3 million,"Increase the monetization of our existing traffic through enhancing customer loyalty. Collectively, as of December 31, 2016, our sites had","registered members, of which 5.6 million were active customers. We believe that we can continue to drive increased monetization of our traffic, growing our sales through more frequent repeat purchasin",,,MEDIUM,mda,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,4.7 million,count,2016-01-01 to 2016-12-31,text,4.7 million,"latform in Brazil and Latin America. We have achieved the following significant milestones as of and for the year ended December 31, 2016: • 5.6 million active customers, an increase of 18.9% from the","active customers we had as of December 31, 2015; • 10.3 million total orders on our sites, an increase of 20.8% from the 8.5 million total orders for the year ended December 31, 2015; • 74.5% of our t",,,LOW,cover,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,10.3 million,count,2015-01-01 to 2015-12-31,text,10.3 million,"wing significant milestones as of and for the year ended December 31, 2016: • 5.6 million active customers, an increase of 18.9% from the 4.7 million active customers we had as of December 31, 2015; •","total orders on our sites, an increase of 20.8% from the 8.5 million total orders for the year ended December 31, 2015; • 74.5% of our total orders were invoiced to repeat customers (which are custome",,,LOW,cover,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,10.3,count,2015-01-01 to 2015-12-31,text,10.3,"wing significant milestones as of and for the year ended December 31, 2016: • 5.6 million active customers, an increase of 18.9% from the 4.7 million active customers we had as of December 31, 2015; •","million total orders on our sites, an increase of 20.8% from the 8.5 million total orders for the year ended December 31, 2015; • 74.5% of our total orders were invoiced to repeat customers (which are",,,LOW,cover,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,12.8 million,count,other,text,12.8 million,"retailer in Latin America and one of the largest online retailers in the region, as measured by net sales. We operate in Brazil, Argentina, and Mexico and, since our launch, we have sold to more than","customers across our sites, solidifying our position as one of the few scaled online retailers in Latin America and creating a foundation of audience, brand and capabilities on top of which we are bui",,,LOW,mda,False,,
NETS,NETS,2017-03-21,cm_customers_period_end,2B,count,other,text,2B,"r Netshoes and Zattini sites. These sources include our services to customers through our marketplace, NCard and lifestyle applications, as well as products sold through partner-hosted sites and our B","operations. These sources allow us to continue to reach a broader consumer base, help us build our brand, improve customer loyalty to the platform and drive incremental net sales.",,,LOW,mda,False,,
NETS,NETS,2017-03-21,cm_repeat_purchase_rate,74.5%,percent,2015-01-01 to 2015-12-31,html_table,74.5%,,,"74.5% of our total orders were invoiced to repeat customers (which are customers who have previously purchased from us), an increase from 72.9% for the year ended December 31, 2015;",,HIGH,unknown,False,,
NETS,NETS,2017-03-21,cm_repeat_purchase_rate,72.9%,percent,2015-01-01 to 2015-12-31,html_table,72.9%,,,"74.5% of our total orders were invoiced to repeat customers (which are customers who have previously purchased from us), an increase from 72.9% for the year ended December 31, 2015;",,HIGH,unknown,False,,
NETS,NETS,2017-03-21,cm_repeat_purchase_rate,74.5%,percent,2016-01-01 to 2016-12-31,text,74.5%,"y navigation, product recommendations and customized ordering. This core customer focus has driven customer loyalty, as demonstrated by our high repeat purchasing. In the year ended December 31, 2016,",of our total orders came from repeat customers.,,,MEDIUM,mda,False,,
NETS,NETS,2017-03-21,cm_purchase_transactions_overall,"8,497",count,2015-12-31,html_table,"8,497",,,"Years Ended December 31, > 2015",Total orders (in thousands),HIGH,unknown,False,,
NETS,NETS,2017-03-21,cm_purchase_transactions_overall,"6,846",count,2014-12-31,html_table,"6,846",,,"Years Ended December 31, > 2014",Total orders (in thousands),HIGH,unknown,False,,
NETS,NETS,2017-03-21,cm_purchase_transactions_overall,"10,268",count,2016-12-31,html_table,"10,268",,,"Years Ended December 31, > 2016",Total orders (in thousands),HIGH,unknown,False,,
