company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason,split
"Airbnb, Inc.",ABNB,2020-12-07,cm_revenue_by_cohort,93%,percent,,table,Host cohort retention 2014 cohort 93%,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),tuning
"Airbnb, Inc.",ABNB,2020-12-07,cm_revenue_by_cohort,95%,percent,,table,Host Cohort Revenue Retention 2014 Cohort 95%,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),tuning
"Braze, Inc.",BRZE,2021-11-08,cm_monthly_active_users,3.3 billion,count,2021-07-31,text,3.3 billion,LOW,cover,False,ACCEPT,,tuning
"Braze, Inc.",BRZE,2021-11-08,cm_monthly_active_users,2.3 billion,count,2021-07-31,text,2.3 billion,LOW,cover,False,ACCEPT,,tuning
"Braze, Inc.",BRZE,2021-11-08,cm_monthly_active_users,1.6 billion,count,2021-07-31,text,1.6 billion,LOW,cover,False,ACCEPT,,tuning
"Braze, Inc.",BRZE,2021-11-08,cm_net_revenue_retention,125%,percent,2021-01-01 to 2021-12-31,html_table,125%,MEDIUM,unknown,False,ACCEPT,,tuning
"Braze, Inc.",BRZE,2021-11-08,cm_net_revenue_retention,126%,percent,2020-01-01 to 2020-12-31,html_table,126%,MEDIUM,unknown,False,ACCEPT,,tuning
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,$6.4 million,currency,2016-01-01 to 2016-12-31,text,$6.4 million,MEDIUM,cover,False,EDIT,This is arr (revenue) from a specific cohort of customers (new customers),tuning
"Braze, Inc.",BRZE,2021-11-08,cm_revenue_by_cohort,$20.1 million,currency,2016-01-01 to 2016-12-31,text,$20.1 million,MEDIUM,cover,False,EDIT,,tuning
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,7.7 million,count,2022-01-01 to 2022-12-31,filing,7.7 million,MEDIUM,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_purchase_transactions_overall,262.6 million,count,2022-01-01 to 2022-12-31,filing,262.6 million,MEDIUM,unknown,False,EDIT,wrong metric,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,13%,percent,2020-01-01 to 2020-12-31,filing,13%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,34%,percent,2020-01-01 to 2020-12-31,filing,34%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,18%,percent,2022-01-01 to 2022-06-30,filing,18%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,14%,percent,2022-01-01 to 2022-06-30,filing,14%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,11%,percent,2023-01-01 to 2023-06-30,filing,11%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,12%,percent,2022-01-01 to 2022-12-31,filing,12%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,16%,percent,2022-01-01 to 2022-12-31,filing,16%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,23%,percent,2021-01-01 to 2021-12-31,filing,23%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_average_order_value,$110,currency,2022-01-01 to 2022-12-31,filing,$110,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1,ratio,Q1 FY2022,image,1.00x,HIGH,KEY_METRICS,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,0.98,ratio,Q1 2023,image,0.98x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1.73,ratio,year 2,image,1.73x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1.74,ratio,year 3,image,1.74x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,3.00,ratio,year 4,image,3.00x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,3.26,ratio,year 5,image,3.26x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,3.52,ratio,year 6,image,3.52x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1.00,ratio,year 1,image,1.00x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1.49,ratio,Year 2,image,1.49x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,2.42,ratio,Year 3,image,2.42x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"11,321",count,2019-05-05,html_table,"11,321",MEDIUM,unknown,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"7,830",count,2018-04-29,html_table,"7,830",MEDIUM,unknown,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"3,034",count,2019-02-03,text,"3,034",LOW,cover,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"6,789",count,2019-02-03,text,"6,789",LOW,cover,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"10,585",count,2019-02-03,text,"10,585",LOW,cover,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_customers_period_end,10.6 million,count,2019-02-03,text,10.6 million,MEDIUM,mda,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_customers_period_end,3 million,count,2019-02-03,text,3 million,MEDIUM,mda,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_ltv_to_cac_ratio,2.4,percent,other,text,2.4,LOW,mda,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,343,other,2019-05-05,html_table,343,MEDIUM,unknown,False,EDIT,"this is revenue per active customer, not total active customers. it is currency, not a count",tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,314,currency,2018-04-29,html_table,314,MEDIUM,unknown,False,EDIT,"this is revenue per active customer, not active customer count",tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,297,currency,2016-01-01 to 2016-12-31,html_table,297,MEDIUM,unknown,False,EDIT,"revenue per active customer, not active customer count",tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,310,currency,2017-01-01 to 2017-12-31,html_table,310,MEDIUM,unknown,False,EDIT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,334,currency,2018-01-01 to 2018-12-31,html_table,334,MEDIUM,unknown,False,EDIT,"revenue per active customer, not customer count",tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.2 million,count,2021-05-01,text,3.2 million,MEDIUM,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.0 million,count,2020-05-02,html_table,3.0 million,MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.4 million,count,2020-05-02,html_table,3.4 million,MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,2.9 million,count,other,text,2.9 million,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.4,count,2019-03-01 to 2020-02-01,html_table,3.4,MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.2,count,2020-02-01 to 2021-01-30,html_table,3.2,MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.0,count,2018-03-01 to 2019-02-02,html_table,3.0,MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,038",count,2019-02-02,html_table,"3,038",MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,364",count,2020-02-01,html_table,"3,364",MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,182",count,2021-01-30,html_table,"3,182",MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,238",count,2020-01-01 to 2020-03-31,html_table,"3,238",MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,"3,448",count,2021-01-01 to 2021-03-31,html_table,"3,448",MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_customers_period_end,3.2 million,count,other,text,3.2 million,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_customers_period_end,2.9 million,count,other,text,2.9 million,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_customer_acquisition_cost,($32),currency,other,chart,($32),LOW,unknown,False,EDIT,wrong metric,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$82,currency,other,chart,$82,LOW,unknown,False,EDIT,this chart shows LTV of customers at each year of tenure,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$124,currency,other,chart,$124,LOW,unknown,False,EDIT,lifetime value chart,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$163,currency,other,chart,$163,LOW,unknown,False,EDIT,lifetime value chart,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$203,currency,other,chart,$203,LOW,unknown,False,EDIT,lifetime value chart,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_lifetime_value_per_customer,$239,currency,other,chart,$239,LOW,unknown,False,EDIT,lifetime value chart,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_ltv_to_cac_ratio,7.4x,ratio,5 years,chart,7.4x LTV/CAC Over 5 Years,LOW,unknown,False,EDIT,"""7.4x LTV/CAC Over 5 Years""",tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_revenue_per_customer,299,currency,2019-02-02,html_table,299,MEDIUM,unknown,False,EDIT,wrong metric,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_revenue_per_customer,306,currency,2021-01-30,html_table,306,MEDIUM,unknown,False,EDIT,"metric didn't relate to the row name, which is a proxy for revenue per customer",tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_revenue_per_customer,308,currency,2020-02-01,html_table,308,MEDIUM,unknown,False,EDIT,row name is sales per customer,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_revenue_per_customer,291,currency,2020-01-01 to 2020-03-31,html_table,291,MEDIUM,unknown,False,EDIT,row name is sales per customer,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_revenue_per_customer,331,currency,2021-01-01 to 2021-03-31,html_table,331,MEDIUM,unknown,False,EDIT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_customer_acquisition_cost,$32,currency,other,text,$32,LOW,mda,False,EDIT,"""...the $32 cost of acquiring those customers...""",tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_customer_acquisition_cost,$49,currency,other,text,$49,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_customer_acquisition_cost,$46,currency,other,text,$46,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_repeat_purchase_rate,72%,percent,other,text,72%,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_repeat_purchase_rate,78%,percent,other,text,78%,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_repeat_purchase_rate,83%,percent,other,text,83%,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_ltv_to_cac_ratio,1.8x,other,other,chart,1.8x,LOW,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_ltv_to_cac_ratio,3.0x,other,other,chart,3.0x,LOW,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_ltv_to_cac_ratio,4.3x,other,other,chart,4.3x,LOW,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_ltv_to_cac_ratio,6.0x,other,other,chart,6.0x,LOW,unknown,False,ACCEPT,,tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_purchase_transactions_overall,83,other,2018-01-01 to 2018-09-30,text,83,LOW,cover,False,ACCEPT,,tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_purchase_transactions_overall,263,other,2018-01-01 to 2018-09-30,text,263,LOW,cover,False,ACCEPT,,tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_purchase_transactions_overall,181,other,2018-01-01 to 2018-09-30,text,181,LOW,cover,False,ACCEPT,,tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_purchase_transactions_overall,543,other,2020-01-01 to 2020-09-30,html_table,543,HIGH,unknown,False,ACCEPT,,tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_purchase_transactions_overall,236 million,count,2020-07-01 to 2020-09-30,text,236 million,MEDIUM,mda,False,ACCEPT,,tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_purchase_transactions_overall,543 million,count,2020-01-01 to 2020-09-30,text,543 million,MEDIUM,mda,False,ACCEPT,,tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_purchase_transactions_overall,263 million,count,2019-01-01 to 2019-12-31,text,263 million,MEDIUM,mda,False,ACCEPT,,tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_revenue_by_cohort,1.38x,ratio,,chart,"marketplace GOV by consumer cohort, indexed to year 1",HIGH,KEY_METRICS,false,ACCEPT,Added by reviewer (pipeline missed),tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_revenue_by_cohort,1.39x,ratio,,chart,"marketplace GOV by cohort, indexed to year 1",HIGH,KEY_METRICS,false,ACCEPT,Added by reviewer (pipeline missed),tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_revenue_by_cohort,1.57x,ratio,,chart,"marketplace GOV by cohort, indexed to year 1",HIGH,KEY_METRICS,false,ACCEPT,Added by reviewer (pipeline missed),tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_revenue_by_cohort,32%,percent,2018,chart,marketplace GOV from New Consumers & Existing Consumers,HIGH,KEY_METRICS,false,ACCEPT,Added by reviewer (pipeline missed),tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_revenue_by_cohort,23%,percent,2019,chart,marketplace gov from new consumers & existing consumers,HIGH,KEY_METRICS,false,ACCEPT,Added by reviewer (pipeline missed),tuning
"DoorDash, Inc.",DASH,2020-12-07,cm_revenue_by_cohort,14%,percent,2020,chart,marketplace GOV from New Consumers & Existing Consumers,HIGH,KEY_METRICS,false,ACCEPT,Added by reviewer (pipeline missed),tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,146%,percent,2018-06-30,text,146%,MEDIUM,cover,False,ACCEPT,,tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,141%,percent,2018-06-30,text,141%,MEDIUM,cover,False,ACCEPT,,tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,151%,percent,2018-06-30,text,151%,MEDIUM,cover,False,ACCEPT,,tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_gross_revenue_retention,90%,percent,other,text,90%,LOW,cover,False,EDIT,"""dollar-based gross retention rate"" not customer retention",tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,$4.8 million,currency,2014-12-31,text,$4.8 million,MEDIUM,cover,False,EDIT,"This is for one cohort of customers (""this cohort increased their ARR from $4.8 million as of December 31, 2014 to ..."")",tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,$19.2 million,currency,2014-12-31,text,$19.2 million,MEDIUM,cover,False,EDIT,"This is for one cohort of customers (""this cohort increased their ARR from $4.8 million as of December 31, 2014 to $19.2 million..."")",tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_concentration,14%,percent,2019-06-30,text,14%,MEDIUM,cover,False,ACCEPT,,tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_concentration,5%,percent,2019-06-30,text,5%,MEDIUM,cover,False,ACCEPT,,tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,60%,percent,2019-01-01 to 2019-06-30,text,60%,MEDIUM,cover,False,ACCEPT,,tuning
"Datadog, Inc.",DDOG,2019-09-17,cm_customers_period_end,"8,800",count,2019-06-30,text,"8,800",MEDIUM,unknown,False,EDIT,wrong metric,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_monthly_active_users,40 million,count,2021-01-01 to 2021-03-31,text,40 million,LOW,cover,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_monthly_active_users,27 million,count,2019-12-31,text,27 million,LOW,cover,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_monthly_active_users,37 million,count,2019-12-31,text,37 million,LOW,cover,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_customers_period_end,1.8 million,count,2021-01-01 to 2021-03-31,text,1.8 million,LOW,cover,False,EDIT,these are paying subscribers (subset of monthly active users),tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_monthly_active_users,39.9,count,2021-01-01 to 2021-03-31,html_table,39.9,MEDIUM,unknown,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_monthly_active_users,27.3,count,2019-01-01 to 2019-12-31,html_table,27.3,MEDIUM,unknown,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_monthly_active_users,36.7,count,2020-01-01 to 2020-12-31,html_table,36.7,MEDIUM,unknown,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_monthly_active_users,33.5,count,2020-01-01 to 2020-03-31,html_table,33.5,MEDIUM,unknown,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_daily_active_users,5.2,count,2026-01-01 to 2026-03-31,table,5.2,LOW,cover,False,EDIT,misclassified as text versus table,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_daily_active_users,8.2,count,2026-01-01 to 2026-03-31,table,8.2,LOW,cover,False,EDIT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_daily_active_users,6.8,count,2026-01-01 to 2026-03-31,table,6.8,LOW,cover,False,EDIT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_daily_active_users,9.5,count,2026-01-01 to 2026-03-31,table,9.5,LOW,cover,False,EDIT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_new_customers_acquired,54%,other,other,chart,First Time Subscription Bookings by User Cohort54%,MEDIUM,unknown,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_new_customers_acquired,59%,other,other,chart,First Time Subscription Bookings by User Cohort59%,MEDIUM,unknown,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_new_customers_acquired,46%,other,other,chart,First Time Subscription Bookings by User Cohort46%,MEDIUM,unknown,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_new_customers_acquired,41%,other,other,chart,First Time Subscription Bookings by User Cohort41%,MEDIUM,unknown,False,ACCEPT,,tuning
"Duolingo, Inc.",DUOL,2021-07-26,cm_new_customers_acquired,47%,other,other,chart,First Time Subscription Bookings by User Cohort47%,MEDIUM,unknown,False,ACCEPT,,tuning
Flywire Corp,FLYW,2026-02-24,cm_net_revenue_retention,110%,percent,other,text,110%,LOW,mda,False,EDIT,"""annual net dollar-based retention rate was approximately 110%,...""",test
Flywire Corp,FLYW,2026-02-24,cm_net_revenue_retention,116%,percent,other,text,116%,LOW,cover,False,EDIT,"""...our three-year average annual net dollar-based retention rate, which averaged approximately 116%...""",test
Flywire Corp,FLYW,2026-02-24,cm_net_revenue_retention,125%,percent,other,text,125%,LOW,mda,False,EDIT,"""...annual net dollar-based retention rate...""",test
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,"1,662",count,2020-01-31,text,"1,662",LOW,cover,False,EDIT,"this is a count, not revenue (which would generally be currency)",test
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,"2,745",count,2020-01-31,text,"2,745",LOW,cover,False,EDIT,,test
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,148,percent,2021-01-31,html_table,148,LOW,unknown,False,ACCEPT,,test
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,152,percent,2021-01-31,html_table,152,LOW,unknown,False,ACCEPT,,test
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,179,percent,2020-07-31,html_table,179,LOW,unknown,False,ACCEPT,,test
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,148%,percent,2020-01-01 to 2020-12-31,text,148%,MEDIUM,mda,False,ACCEPT,,test
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,153%,percent,2020-07-31,text,153%,MEDIUM,mda,False,ACCEPT,,test
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,173,percent,2020-07-31,text,173,MEDIUM,cover,False,EDIT,"this is not a percent, it's a count. there is no indication of it being a percent",test
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,283,percent,2020-07-31,text,283,MEDIUM,cover,False,EDIT,"this is a count, not a percent",test
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,383,count,2020-07-31,text,383,MEDIUM,cover,False,EDIT,this is a count not a percent,test
Gitlab Inc.,GTLB,2021-10-12,cm_customers_period_end,"1,662",count,2020-01-31,text,"1,662",LOW,mda,False,ACCEPT,,test
Gitlab Inc.,GTLB,2021-10-12,cm_large_customers_period_end,11,count,2020-01-31,text,11,MEDIUM,mda,False,EDIT,"large customers (""our $1.0 million ARR customers increased from 11 as of January 31, 2020..."")",test
