review_status,notes,metric_value_id,metric_id,metric_name,value_numeric,value_text,unit,period_start,period_end,period_type,source_type,extraction_method,section_heading,source_text_preview
accepted,those who placed their first order on our Marketplace,10000,cm_new_customers_acquired,cm_new_customers_acquired,,,,,,,text,manual,,We define new consumers as those who placed their first order on our Marketplace. 
accepted,,10001,cm_revenue_by_cohort,cm_revenue_by_cohort,44.4, 44.4 ,percent,,2017-12-31,,chart,chart_annotation,,Revenue by cohort 2017 - 44.4%
accepted,,10100,cm_revenue_by_cohort,cm_revenue_by_cohort,55.6, 55.6 ,percent,,2017-12-31,,chart,chart_annotation,,Revenue by cohort 2017 - 55.6%
accepted,,10002,cm_active_customers_total,cm_active_customers_total,1118047.0," 1,118,047 ",customers,,2018-06-30,,text,manual,,"As of June 30, 2018, we had 1,118,047 Active Consumers, up from 796,297 as of June 30, 2017. As of December 31, 2017, we had 935,772 Active Consumers, up from 651,674 as of December 31, 2016"
accepted,,10003,cm_active_customers_total,cm_active_customers_total,796297.0," 796,297 ",customers,,2017-06-30,,text,manual,,"As of June 30, 2018, we had 1,118,047 Active Consumers, up from 796,297 as of June 30, 2017. As of December 31, 2017, we had 935,772 Active Consumers, up from 651,674 as of December 31, 2016"
accepted,,10004,cm_active_customers_total,cm_active_customers_total,935772.0," 935,772 ",customers,,12/31/17,,text,manual,,"As of June 30, 2018, we had 1,118,047 Active Consumers, up from 796,297 as of June 30, 2017. As of December 31, 2017, we had 935,772 Active Consumers, up from 651,674 as of December 31, 2016"
accepted,,10005,cm_active_customers_total,cm_active_customers_total,651674.0," 651,674 ",customers,,12/31/16,,text,manual,,"As of June 30, 2018, we had 1,118,047 Active Consumers, up from 796,297 as of June 30, 2017. As of December 31, 2017, we had 935,772 Active Consumers, up from 651,674 as of December 31, 2016"
accepted,,10006,cm_purchase_transactions_overall,cm_purchase_transactions_overall,1305297.0," 1,305,297 ",transactions,,2018-06-30,,text,manual,,"The Number of Orders for the six months ended June 30, 2018 was 1,305,297, up from 853,195 for six months ended June 30, 2017."
accepted,,10007,cm_purchase_transactions_overall,cm_purchase_transactions_overall,853195.0," 853,195 ",transactions,,2017-06-30,,text,manual,,"The Number of Orders for the six months ended June 30, 2018 was 1,305,297, up from 853,195 for six months ended June 30, 2017."
accepted,,10008,cm_purchase_transactions_overall,cm_purchase_transactions_overall,1900000.0, 2 ,million transactions,,12/31/17,,text,manual,,"The Number of Orders for the year ended December 31, 2017 was 1.9 million, up from 1.3 million for the year ended December 31, 2016. "
accepted,,10009,cm_purchase_transactions_overall,cm_purchase_transactions_overall,1300000.0, 1 ,million transactions,,12/31/16,,text,manual,,"The Number of Orders for the year ended December 31, 2017 was 1.9 million, up from 1.3 million for the year ended December 31, 2016. "
