review_status,notes,metric_value_id,metric_id,metric_name,value_numeric,value_text,unit,period_start,period_end,period_type,source_type,extraction_method,section_heading,source_text_preview
accepted,"annual recurring revenue, or ARR, of each cohort over the periods presented, with each cohort representing Paid Customers who made their first purchase from us in a given fiscal year. For example, the fiscal year 2015 cohort represents all Paid Customers that purchased their first subscription from us during the fiscal year 2015",10000,cm_arr,cm_arr,chart, chart ,,,2019-01-31,,text,manual,,"<div style=""line-height:120%;padding-bottom:12px;text-align:center;""><img src=""mdaa2.jpg"" alt=""mdaa2.jpg"" style=""height:309px;width:493px;""></div>"
accepted,users who either created or consumed content in a given 24-hour period on either a free or paid subscription plan,10001,cm_daily_active_users,cm_daily_active_users,,,,,,,text,manual,,We define daily active users as users who either created or consumed content in a given 24-hour period on either a free or paid subscription plan.
accepted,"a separate entity, such as a company, educational or government institution, or distinct business unit of a company, that is on a subscription plan, whether free or paid.",10002,cm_customer,,,,,,,,text,manual,,"We define an organization on Slack as a separate entity, such as a company, educational or government institution, or distinct business unit of a company, that is on a subscription plan, whether free or paid."
accepted,an organization with three or more users on a paid subscription plan,10003,cm_customer,,,,,,,,text,manual,,"Once an organization has three or more users on a paid subscription plan, we count them as a Paid Customer."
accepted,,10004,cm_daily_active_users,cm_daily_active_users,10000000.0, 10 ,user,,"three months ended January 31, 2019",,text,manual,,"Our user base has grown rapidly since our launch in 2014. During the three months ended January 31, 2019, our daily active users exceeded 10 million. As of January 31, 2019, Slack had more than 600,000 organizations with three or more users, comprised of:"
accepted,an organization with three or more users on a Free subscription plan,10005,cm_customers_period_end,,500000.0," 500,000 ",customers,,2019-01-31,,text,manual,,"As of January 31, 2019, Slack had more than 600,000 organizations with three or more users, comprised of:
•
More than 500,000 organizations on our Free subscription plan; and
•
More than 88,000 Paid Customers, including more than 65 companies in the Fortune 100.
As of April 30, 2019, Slack had more than 95,000 Paid Customers"
accepted,,10006,cm_customers_period_end,,88000.0," 88,000 ",customers,,2019-01-31,,text,manual,,"As of January 31, 2019, Slack had more than 600,000 organizations with three or more users, comprised of:
•
More than 500,000 organizations on our Free subscription plan; and
•
More than 88,000 Paid Customers, including more than 65 companies in the Fortune 100.
As of April 30, 2019, Slack had more than 95,000 Paid Customers"
accepted,,10007,cm_customers_period_end,,95000.0," 95,000 ",customers,,2019-04-30,,text,manual,,"As of January 31, 2019, Slack had more than 600,000 organizations with three or more users, comprised of:
•
More than 500,000 organizations on our Free subscription plan; and
•
More than 88,000 Paid Customers, including more than 65 companies in the Fortune 100.
As of April 30, 2019, Slack had more than 95,000 Paid Customers"
accepted,"Paid Customers >   $100,000 of annual recurring revenue, or ARR",10008,,,,,,,,,text,manual,,"We measure the number of Paid Customers >   $100,000 of annual recurring revenue, or ARR, as a gauge of adoption within and expansion into large enterprises."
accepted,,10009,cm_large_customers_period_end,,575.0, 575 ,customers,,2019-01-31,,text,manual,,"As of January 31, 2019, we had 575 Paid Customers >$100,000 of ARR, which accounted for approximately 40% of our revenue in fiscal year 2019 . As of April 30, 2019, we had 645 Paid Customers >$100,000 of ARR, which accounted for approximately 43% of our revenue in the three months ended April 30, 2019 ."
accepted,,10010,cm_large_customers_period_end,,645.0, 645 ,customers,,2019-04-30,,text,manual,,"As of January 31, 2019, we had 575 Paid Customers >$100,000 of ARR, which accounted for approximately 40% of our revenue in fiscal year 2019 . As of April 30, 2019, we had 645 Paid Customers >$100,000 of ARR, which accounted for approximately 43% of our revenue in the three months ended April 30, 2019 ."
accepted,,10011,cm_net_revenue_retention,cm_net_revenue_retention,138.0, 138 ,percent,,2019-04-30,,text,manual,,"Expansion within organizations on Slack is a significant contributor to our growth. We measure the rate of expansion within our Paid Customer base, both sales-driven and through organic growth, by Net Dollar Retention Rate. Our Net Dollar Retention Rate was 138% as of April 30, 2019. "
