company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,7.7 million,count,2022-01-01 to 2022-12-31,filing,7.7 million,MEDIUM,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,6.2,count,2023-04-01 to 2023-06-30,filing,6.2,LOW,cover,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,262.6 million,count,2022-01-01 to 2022-12-31,filing,262.6 million,MEDIUM,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,13,other,other,filing,13,LOW,cover,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,26,other,other,filing,26,LOW,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,57,other,other,filing,57,LOW,cover,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,67,other,other,filing,67,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,79,other,other,filing,79,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,101,other,other,filing,101,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,151,other,other,filing,151,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,114,other,other,filing,114,LOW,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,27,other,2023-06-30,filing,27,MEDIUM,cover,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,52,other,2023-04-01 to 2023-06-30,filing,52,LOW,cover,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,30,other,2023-04-01 to 2023-06-30,filing,30,LOW,cover,False,,
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,146,other,2022-01-01 to 2022-12-31,filing,146,MEDIUM,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_customers_period_end,32,other,other,filing,32,LOW,cover,False,,
Maplebear Inc.,CART,2023-09-15,cm_purchase_transactions_overall,-19,other,other,filing,-19,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,2.3%,percent,other,filing,2.3%,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,1.5%,percent,other,filing,1.5%,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,22%,percent,other,filing,22%,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,15%,percent,2020-01-01 to 2020-12-31,filing,15%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,0.7,percent,other,filing,0.7,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,0.5%,percent,other,filing,0.5%,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,5%,percent,other,filing,5%,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,13%,percent,2020-01-01 to 2020-12-31,filing,13%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,34%,percent,2020-01-01 to 2020-12-31,filing,34%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,13%,percent,2022-01-01 to 2022-06-30,filing,13%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,18%,percent,2022-01-01 to 2022-06-30,filing,18%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,14%,percent,2022-01-01 to 2022-06-30,filing,14%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,13%,percent,2023-01-01 to 2023-06-30,filing,13%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,14%,percent,2023-01-01 to 2023-06-30,filing,14%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,11%,percent,2023-01-01 to 2023-06-30,filing,11%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,12%,percent,2022-01-01 to 2022-12-31,filing,12%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,16%,percent,2022-01-01 to 2022-12-31,filing,16%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,18%,percent,2021-01-01 to 2021-12-31,filing,18%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,23%,percent,2021-01-01 to 2021-12-31,filing,23%,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_average_order_value,$110,currency,2022-01-01 to 2022-12-31,filing,$110,HIGH,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_average_order_value,$100,currency,other,filing,$100,LOW,mda,False,,
Maplebear Inc.,CART,2023-09-15,cm_average_order_value,-19,other,2012-01-01 to 2012-12-31,filing,-19,MEDIUM,unknown,False,,
Maplebear Inc.,CART,2023-09-15,cm_new_customers_acquired,202,other,2020-01-01 to 2020-12-31,filing,202,MEDIUM,unknown,False,,
