company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
"Chewy, Inc.",CHWY,2019-06-12,cm_customer_retention_rate,66%,percent,2018-01-01 to 2018-12-31,filing,66%,MEDIUM,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_customer_retention_rate,1.5,percent,2018-01-01 to 2018-12-31,filing,1.5,HIGH,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_customers_period_end,18,other,2018-01-01 to 2018-12-31,filing,18,MEDIUM,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_customers_period_end,53,other,2018-01-01 to 2018-12-31,filing,53,MEDIUM,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_customers_period_end,29,other,other,filing,29,LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"51,141",count,other,filing,"51,141",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"45,273",count,other,filing,"45,273",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"63,363",count,other,filing,"63,363",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"58,734",count,other,filing,"58,734",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"11,321",count,2019-05-05,filing,"11,321",MEDIUM,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"7,830",count,2018-04-29,filing,"7,830",MEDIUM,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,8.3,count,other,filing,8.3,LOW,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,123.8,count,other,filing,123.8,MEDIUM,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,55.9,count,other,filing,55.9,MEDIUM,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,4.4,count,other,filing,4.4,LOW,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"13,415",count,2019-02-03,filing,"13,415",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"15,020",count,2019-02-03,filing,"15,020",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"120,029",count,2019-02-03,filing,"120,029",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"57,575",count,2019-02-03,filing,"57,575",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"3,034",count,2019-02-03,filing,"3,034",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"6,789",count,2019-02-03,filing,"6,789",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"10,585",count,2019-02-03,filing,"10,585",LOW,cover,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,10.6 million,count,2019-02-03,filing,10.6 million,MEDIUM,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,3 million,count,2019-02-03,filing,3 million,MEDIUM,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,3.8 million,count,2018-01-01 to 2018-12-31,filing,3.8 million,MEDIUM,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"10,585",count,2018-01-01 to 2018-12-31,filing,"10,585",HIGH,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,3.8 million,count,2017-01-01 to 2017-12-31,filing,3.8 million,MEDIUM,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"6,789",count,2017-01-01 to 2017-12-31,filing,"6,789",HIGH,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,3.8 million,count,2016-01-01 to 2016-12-31,filing,3.8 million,MEDIUM,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"3,034",count,2016-01-01 to 2016-12-31,filing,"3,034",HIGH,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_ltv_to_cac_ratio,2.4,percent,other,filing,2.4,LOW,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_ltv_to_cac_ratio,-2017,other,other,filing,-2017,LOW,mda,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,343,other,2019-05-05,filing,343,MEDIUM,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,314,other,2018-04-29,filing,314,MEDIUM,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,297,other,2016-01-01 to 2016-12-31,filing,297,MEDIUM,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,310,other,2017-01-01 to 2017-12-31,filing,310,MEDIUM,unknown,False,,
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,334,other,2018-01-01 to 2018-12-31,filing,334,MEDIUM,unknown,False,,
