company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
"Datadog, Inc.",DDOG,2019-09-17,cm_net_revenue_retention,30,percent,2018-06-30,filing,30,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_customer_retention_rate,146%,percent,2018-06-30,filing,146%,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_customer_retention_rate,141%,percent,2018-06-30,filing,141%,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_customer_retention_rate,151%,percent,2018-06-30,filing,151%,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_customer_retention_rate,90%,percent,other,filing,90%,LOW,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_arr,"$100,000",currency,2019-06-30,filing,"$100,000",MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_arr,$1.0 million,currency,2019-06-30,filing,$1.0 million,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_arr,"$200,000",currency,2019-06-30,filing,"$200,000",MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_arr,$4.8 million,currency,2014-12-31,filing,$4.8 million,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_arr,$19.2 million,currency,2014-12-31,filing,$19.2 million,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_concentration,14%,percent,2019-06-30,filing,14%,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_concentration,5%,percent,2019-06-30,filing,5%,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_customers_period_end,31,other,2018-12-31,filing,31,LOW,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,60%,percent,2019-01-01 to 2019-06-30,filing,60%,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_revenue_by_cohort,60%,percent,2018-01-01 to 2018-12-31,filing,60%,MEDIUM,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_large_customers_period_end,"5,000",count,2019-06-30,filing,"5,000",LOW,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_customers_period_end,20 million,count,other,filing,20 million,LOW,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_customers_period_end,"145,000",count,other,filing,"145,000",LOW,cover,False,,
"Datadog, Inc.",DDOG,2019-09-17,cm_expansion_revenue,"8,800",count,2019-01-01 to 2019-06-30,filing,"8,800",MEDIUM,unknown,False,,
