company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$5,000",currency,2020-01-31,text,"$5,000",MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$100K,currency,2020-01-31,html_table,$100K,LOW,unknown,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$1.0 million,currency,2020-01-31,text,$1.0 million,MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$100,000",currency,2020-07-31,text,"$100,000",MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$1.0 million,currency,2020-07-31,text,$1.0 million,MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$0 per user per month,currency,other,chart,$0 per user per month,LOW,unknown,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$19 per user per month,currency,other,chart,$19 per user per month,LOW,unknown,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,$99 per user per month,currency,other,chart,$99 per user per month,LOW,unknown,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$5,000",currency,2021-01-01 to 2021-12-31,text,"$5,000",MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$100,000",currency,2021-07-31,text,"$100,000",MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_arr,"$100,000",currency,2021-01-31,text,"$100,000",MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_revenue_by_cohort,"1,662",count,2020-01-31,text,"1,662",LOW,cover,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_revenue_by_cohort,"2,745",count,2020-01-31,text,"2,745",LOW,cover,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,148,percent,2021-01-31,html_table,148,LOW,unknown,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,152,percent,2021-01-31,html_table,152,LOW,unknown,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,179,percent,2020-07-31,html_table,179,LOW,unknown,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,148%,percent,2020-01-01 to 2020-12-31,text,148%,MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,153%,percent,2020-07-31,text,153%,MEDIUM,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,173,percent,2020-07-31,text,173,MEDIUM,cover,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,283,percent,2020-07-31,text,283,MEDIUM,cover,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_net_revenue_retention,383,percent,2020-07-31,text,383,MEDIUM,cover,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_revenue_by_cohort,25%,percent,2021-01-31,text,25%,MEDIUM,cover,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_customers_period_end,"1,662",count,2020-01-31,text,"1,662",LOW,mda,False,,
Gitlab Inc.,GTLB,2021-10-12,cm_customers_period_end,173,other,2020-01-31,text,173,MEDIUM,mda,False,,
