company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_customers_period_end,5.1,count,12/31/19,text,5.1,LOW,cover,FALSE,EDIT,"""Net Cumulative Funded Accounts"" is a proxy for number of customers, not revenue"
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_customers_period_end,12.5,count,12/31/20,text,12.5,LOW,cover,FALSE,EDIT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_customers_period_end,9.8,count,6/30/20,text,9.8,LOW,cover,FALSE,EDIT,"Net Cumulative Funded Accounts is a proxy for number of customers, not revenue"
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_customers_period_end,22.5 M,count,6/30/21,text,22.5 M,LOW,cover,FALSE,EDIT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_monthly_active_users,4.3,count,12/31/19,text,4.3,LOW,cover,FALSE,EDIT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,"5,389.40",count,2026-01-01 to 2026-03-31,text,"5,389.40",LOW,cover,FALSE,REJECT,"""Net market gains"" is not the same as revenue"
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,"11,150.70",count,2026-01-01 to 2026-03-31,text,"11,150.70",LOW,cover,FALSE,REJECT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,389.4,count,2026-01-01 to 2026-03-31,text,389.4,LOW,cover,FALSE,REJECT,partial number
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,65.7,count,2019-01-01 to 2019-12-31,html_table,65.7,MEDIUM,unknown,FALSE,ACCEPT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,108.9,count,2020-01-01 to 2020-12-31,html_table,108.9,MEDIUM,unknown,FALSE,ACCEPT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,115.2,count,6/30/20,html_table,115.2,MEDIUM,unknown,FALSE,ACCEPT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,111.7,count,6/30/21,html_table,111.7,MEDIUM,unknown,FALSE,ACCEPT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,"$14,135.60 ",currency,other,text,"$14,135.60 ",LOW,cover,FALSE,REJECT,
"Robinhood Markets, Inc.",HOOD,10/8/21,cm_revenue_per_customer,"$62,978.50 ",currency,other,text,"$62,978.50 ",LOW,cover,FALSE,REJECT,"""Assets Under Custody"" is not a revenue metric"
