company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason
Snap Inc,SNAP,2025-11-05,cm_daily_active_users,477 million,count,other,presentation,477 million,LOW,cover,False,ACCEPT,
Snap Inc,SNAP,2025-11-05,cm_daily_active_users,34 million,count,other,presentation,34 million,LOW,cover,False,REJECT,this is the increase in DAU rather than the full count
Snap Inc,SNAP,2025-11-05,cm_monthly_active_users,943 million,count,3Q2025,investor letter,943 million,LOW,cover,False,EDIT,wrong metric (DAU instead of MAU)
Snap Inc,SNAP,2025-11-05,cm_daily_active_users,60 million,count,other,presentation,60 million,LOW,cover,False,REJECT,"increase in MAU, not absolute DAU"
Snap Inc,SNAP,2025-11-05,cm_monthly_active_users,one billion,count,other,presentation,one billion,LOW,cover,False,REJECT,could not find this in the text
Snap Inc,SNAP,2025-11-05,cm_monthly_active_users,477 million,count,other,presentation,477 million,LOW,cover,False,ACCEPT,
Snap Inc,SNAP,2025-11-05,cm_monthly_active_users,34 million,count,other,presentation,34 million,LOW,cover,False,REJECT,"increase in DAU, not absolute MAU"
Snap Inc,SNAP,2025-11-05,cm_monthly_active_users,943 million,count,other,presentation,943 million,LOW,cover,False,ACCEPT,
Snap Inc,SNAP,2025-11-05,cm_monthly_active_users,60 million,count,other,presentation,60 million,LOW,cover,False,REJECT,"increase in MAU, not absolute"
Snap Inc,SNAP,2025-11-05,cm_monthly_active_users,68 million,count,other,presentation,68 million,LOW,cover,False,REJECT,
Snap Inc,SNAP,2025-11-05,cm_revenue_concentration,18%,percent,other,presentation,18%,LOW,cover,False,REJECT,r
Snap Inc,SNAP,2025-11-05,cm_revenue_concentration,19%,percent,other,presentation,19%,LOW,cover,False,REJECT,
Snap Inc,SNAP,2025-11-05,cm_revenue_concentration,20%,percent,other,presentation,20%,LOW,cover,False,REJECT,
