company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason,split
Maplebear Inc.,CART,2023-09-15,cm_monthly_active_users,7.7 million,count,2022-01-01 to 2022-12-31,filing,7.7 million,MEDIUM,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_purchase_transactions_overall,262.6 million,count,2022-01-01 to 2022-12-31,filing,262.6 million,MEDIUM,unknown,False,EDIT,wrong metric,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,13%,percent,2020-01-01 to 2020-12-31,filing,13%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,34%,percent,2020-01-01 to 2020-12-31,filing,34%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,18%,percent,2022-01-01 to 2022-06-30,filing,18%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,14%,percent,2022-01-01 to 2022-06-30,filing,14%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,11%,percent,2023-01-01 to 2023-06-30,filing,11%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,12%,percent,2022-01-01 to 2022-12-31,filing,12%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,16%,percent,2022-01-01 to 2022-12-31,filing,16%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_concentration,23%,percent,2021-01-01 to 2021-12-31,filing,23%,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_average_order_value,$110,currency,2022-01-01 to 2022-12-31,filing,$110,HIGH,unknown,False,ACCEPT,,test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1,ratio,Q1 FY2022,image,1.00x,HIGH,KEY_METRICS,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,0.98,ratio,Q1 2023,image,0.98x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1.73,ratio,year 2,image,1.73x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1.74,ratio,year 3,image,1.74x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,3.00,ratio,year 4,image,3.00x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,3.26,ratio,year 5,image,3.26x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,3.52,ratio,year 6,image,3.52x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1.00,ratio,year 1,image,1.00x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,1.49,ratio,Year 2,image,1.49x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
Maplebear Inc.,CART,2023-09-15,cm_revenue_by_cohort,2.42,ratio,Year 3,image,2.42x,HIGH,MDNA,false,ACCEPT,Added by reviewer (pipeline missed),test
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"11,321",count,2019-05-05,html_table,"11,321",MEDIUM,unknown,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"7,830",count,2018-04-29,html_table,"7,830",MEDIUM,unknown,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"3,034",count,2019-02-03,text,"3,034",LOW,cover,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"6,789",count,2019-02-03,text,"6,789",LOW,cover,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_active_customers_total,"10,585",count,2019-02-03,text,"10,585",LOW,cover,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_customers_period_end,10.6 million,count,2019-02-03,text,10.6 million,MEDIUM,mda,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_customers_period_end,3 million,count,2019-02-03,text,3 million,MEDIUM,mda,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_ltv_to_cac_ratio,2.4,percent,other,text,2.4,LOW,mda,False,ACCEPT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,343,other,2019-05-05,html_table,343,MEDIUM,unknown,False,EDIT,"this is revenue per active customer, not total active customers. it is currency, not a count",tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,314,currency,2018-04-29,html_table,314,MEDIUM,unknown,False,EDIT,"this is revenue per active customer, not active customer count",tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,297,currency,2016-01-01 to 2016-12-31,html_table,297,MEDIUM,unknown,False,EDIT,"revenue per active customer, not active customer count",tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,310,currency,2017-01-01 to 2017-12-31,html_table,310,MEDIUM,unknown,False,EDIT,,tuning
"Chewy, Inc.",CHWY,2019-06-12,cm_revenue_per_customer,334,currency,2018-01-01 to 2018-12-31,html_table,334,MEDIUM,unknown,False,EDIT,"revenue per active customer, not customer count",tuning
"Salesforce, Inc.",CRM,2025-12-03,cm_arr,$1.4 billion,currency,2025-07-31 to 2025-10-31,presentation,$1.4 billion,MEDIUM,cover,False,EDIT,period was incorrect,tuning
"Salesforce, Inc.",CRM,2026-02-25,cm_arr,$800 million,currency,other,presentation,$800 million,LOW,cover,False,ACCEPT,,tuning
"Salesforce, Inc.",CRM,2026-02-25,cm_arr,$2.9 billion,currency,other,presentation,$2.9 billion,LOW,cover,False,ACCEPT,,tuning
"Salesforce, Inc.",CRM,2026-02-25,cm_arr,$1.1 billion,currency,other,presentation,$1.1 billion,LOW,cover,False,ACCEPT,,tuning
"Salesforce, Inc.",CRM,2026-02-25,cm_arr,$6.6 billion,currency,other,presentation,$6.6 billion,LOW,cover,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.2 million,count,2021-05-01,text,3.2 million,MEDIUM,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.0 million,count,2020-05-02,html_table,3.0 million,MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.4 million,count,2020-05-02,html_table,3.4 million,MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,2.9 million,count,other,text,2.9 million,LOW,mda,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.4,count,2019-03-01 to 2020-02-01,html_table,3.4,MEDIUM,unknown,False,ACCEPT,,tuning
Torrid Holdings Inc.,CURV,2021-06-30,cm_active_customers_total,3.2,count,2020-02-01 to 2021-01-30,html_table,3.2,MEDIUM,unknown,False,ACCEPT,,tuning
