file,ticker,date,pipeline_success,duration_ms,segments,facts_extracted,annotations_count,true_positives,false_negatives,false_positives,recall,precision,f1
exhibit991-pressrelease.htm.html,ADBE,2019-01-24,False,,,,,,,,,,
d55348ds1a.htm.html,CART,2023-09-15,True,45951,2646,30,0,0,0,0,0,0,0
d665122ds1a.htm.html,CHWY,2019-06-12,True,16779,1399,45,13,13,0,32,1.0,0.28888888888888886,0.4482758620689655
crm-q3fy26xexhibit991.htm.html,CRM,2025-12-03,True,2179,168,1,1,1,0,0,1.0,1.0,1.0
crm-q4fy26xexhibit991.htm.html,CRM,2026-02-25,True,2186,183,4,4,4,0,0,1.0,1.0,1.0
d895088ds1a.htm.html,CURV,2021-06-30,True,15131,1680,66,36,30,6,36,0.8333333333333334,0.45454545454545453,0.5882352941176471
d745413ds1a.htm.html,DDOG,2019-09-17,True,15223,1441,20,11,10,1,10,0.9090909090909091,0.5,0.6451612903225806
flyw-20251231.htm.html,FLYW,10-K_2026-02-24,True,13614,2161,4,0,0,0,0,0,0,0
googexhibit991q32025.htm.html,GOOGL,2025-10-29,True,1401,85,1,1,1,0,0,1.0,1.0,1.0
googexhibit991q42025.htm.html,GOOGL,2026-02-04,True,1147,85,2,1,1,0,1,1.0,0.5,0.6666666666666666
gitlab-sx1a3.htm.html,GTLB,2021-10-12,True,12598,1768,39,0,0,0,0,0,0,0
hood-20211008.htm.html,HOOD,2021-10-08,True,20772,2215,39,0,0,0,0,0,0,0
fy26q1earningspressrelease.htm.html,INTU,2025-11-20,True,1480,129,1,1,1,0,0,1.0,1.0,1.0
fy26q2earningspressrelease.htm.html,INTU,2026-02-26,True,1845,130,0,0,0,0,0,0,0,0
d261594ds1a.htm.html,IOT,2021-12-06,True,18100,1789,38,44,26,18,12,0.5909090909090909,0.6842105263157895,0.6341463414634148
d12646df1a.htm.html,KC,2020-09-23,True,26259,2266,24,18,8,10,16,0.4444444444444444,0.3333333333333333,0.380952380952381
dec122025exhibit991.htm.html,META,2025-12-12,True,643,288,0,0,0,0,0,0,0,0
meta-12312025xexhibit991.htm.html,META,2026-01-28,True,887,56,1,1,1,0,0,1.0,1.0,1.0
NETS_2017-03-21_primary.html,NETS,8-K_2017-03-21,True,19545,2118,59,0,0,0,0,0,0,0
now_xform8-kq22013earnings.htm.html,NOW,2013-07-31,True,79,31,0,0,0,0,0,0,0,0
pypl3q-25earningsrelease.htm.html,PYPL,2025-10-28,True,2249,130,2,2,2,0,0,1.0,1.0,1.0
pypl4q-25earningsrelease.htm.html,PYPL,2026-02-03,True,2793,135,2,2,2,0,0,1.0,1.0,1.0
SI_2018-11-07_primary.html,SI,8-K_2018-11-07,True,25555,2110,6,0,0,0,0,0,0,0
shoulderinnovation-sx1a3.htm.html,SI,2025-07-25,True,12220,1928,0,0,0,0,0,0,0,0
d548092ds1a.htm.html,TENB,2018-07-24,True,13238,1512,25,10,8,2,17,0.8,0.32,0.45714285714285713
ex991q42017earningsrelease.htm.html,TRUP,2018-02-13,True,137,31,0,0,0,0,0,0,0,0
ex991q12018earningsrelease.htm.html,TRUP,2018-05-01,True,59,25,0,0,0,0,0,0,0,0
ex991q22018earningsrelease.htm.html,TRUP,2018-08-02,True,108,31,0,0,0,0,0,0,0,0
