file,ticker,date,pipeline_success,duration_ms,segments,tables,facts_extracted,annotations_count,true_positives,false_negatives,false_positives,recall,precision,f1,stage_stats
ADBE_2024-12-11.html,ADBE,2024-12-11,True,105,324,0,27,0,0,0,0,0,0,0,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 324, ""duration_ms"": 17, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 324, ""items_out"": 324, ""duration_ms"": 2, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 324, ""items_out"": 46, ""duration_ms"": 79, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 46, ""items_out"": 38, ""duration_ms"": 1, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 38, ""items_out"": 37, ""duration_ms"": 2, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 37, ""items_out"": 37, ""duration_ms"": 2, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 37, ""items_out"": 37, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 37, ""items_out"": 27, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 27, ""items_out"": 27, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
ADBE_2025-03-12.html,ADBE,2025-03-12,True,115,375,0,10,11,8,3,2,0.7272727272727273,0.8,0.761904761904762,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 375, ""duration_ms"": 21, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 375, ""items_out"": 375, ""duration_ms"": 2, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 375, ""items_out"": 26, ""duration_ms"": 88, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 26, ""items_out"": 21, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 21, ""items_out"": 18, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 18, ""items_out"": 18, ""duration_ms"": 1, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 18, ""items_out"": 18, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 18, ""items_out"": 10, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 10, ""items_out"": 10, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
ADSK_2024-11-26.html,ADSK,2024-11-26,True,103,331,0,4,0,0,0,0,0,0,0,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 331, ""duration_ms"": 21, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 331, ""items_out"": 331, ""duration_ms"": 1, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 331, ""items_out"": 19, ""duration_ms"": 78, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 19, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 6, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 6, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 6, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 6, ""items_out"": 4, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 4, ""items_out"": 4, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
ADSK_2025-02-27.html,ADSK,2025-02-27,True,118,378,0,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 378, ""duration_ms"": 30, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 378, ""items_out"": 378, ""duration_ms"": 2, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 378, ""items_out"": 14, ""duration_ms"": 84, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 14, ""items_out"": 4, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 4, ""items_out"": 4, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 4, ""items_out"": 4, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 4, ""items_out"": 4, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 4, ""items_out"": 3, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 3, ""items_out"": 3, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
CRM_2019-12-03_17_00_00.html,CRM,2019-12-03_17_00_00,True,94,339,0,1,0,0,0,0,0,0,0,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 339, ""duration_ms"": 17, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 339, ""items_out"": 339, ""duration_ms"": 2, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 339, ""items_out"": 3, ""duration_ms"": 73, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 3, ""items_out"": 2, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 2, ""items_out"": 1, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 1, ""items_out"": 1, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 1, ""items_out"": 1, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 1, ""items_out"": 1, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 1, ""items_out"": 1, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
CRM_2020-02-25_17_00_00.html,CRM,2020-02-25_17_00_00,True,96,353,0,5,0,0,0,0,0,0,0,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 353, ""duration_ms"": 20, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 353, ""items_out"": 353, ""duration_ms"": 2, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 353, ""items_out"": 5, ""duration_ms"": 73, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 5, ""items_out"": 5, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 5, ""items_out"": 5, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 5, ""items_out"": 5, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 5, ""items_out"": 5, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 5, ""items_out"": 5, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 5, ""items_out"": 5, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
CRM_2024-12-03.html,CRM,2024-12-03,True,106,373,0,6,0,0,0,0,0,0,0,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 373, ""duration_ms"": 19, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 373, ""items_out"": 373, ""duration_ms"": 2, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 373, ""items_out"": 9, ""duration_ms"": 83, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 9, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 6, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 6, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 6, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 6, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 6, ""items_out"": 6, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
CRM_2025-02-26.html,CRM,2025-02-26,True,117,459,0,9,5,5,0,4,1.0,0.5555555555555556,0.7142857142857143,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 459, ""duration_ms"": 27, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 459, ""items_out"": 459, ""duration_ms"": 3, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 459, ""items_out"": 10, ""duration_ms"": 85, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 10, ""items_out"": 10, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 10, ""items_out"": 10, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 10, ""items_out"": 10, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 10, ""items_out"": 10, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 10, ""items_out"": 9, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 9, ""items_out"": 9, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
EA_2025-02-04.html,EA,2025-02-04,True,77,295,0,0,0,0,0,0,0,0,0,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 295, ""duration_ms"": 13, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 295, ""items_out"": 295, ""duration_ms"": 1, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 295, ""items_out"": 2, ""duration_ms"": 62, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 2, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
EA_2025-05-06.html,EA,2025-05-06,True,89,314,0,2,0,0,0,0,0,0,0,"{""ingestion"": {""success"": true, ""items_in"": 1, ""items_out"": 314, ""duration_ms"": 16, ""errors"": 0, ""warnings"": 0}, ""section_classification"": {""success"": true, ""items_in"": 314, ""items_out"": 314, ""duration_ms"": 1, ""errors"": 0, ""warnings"": 0}, ""table_reconstruction"": {""success"": true, ""items_in"": 0, ""items_out"": 0, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""candidate_generation"": {""success"": true, ""items_in"": 314, ""items_out"": 2, ""duration_ms"": 69, ""errors"": 0, ""warnings"": 0}, ""value_binding"": {""success"": true, ""items_in"": 2, ""items_out"": 2, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""false_positive_filter"": {""success"": true, ""items_in"": 2, ""items_out"": 2, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""period_inference"": {""success"": true, ""items_in"": 2, ""items_out"": 2, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""fact_construction"": {""success"": true, ""items_in"": 2, ""items_out"": 2, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""deduplication"": {""success"": true, ""items_in"": 2, ""items_out"": 2, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}, ""validation"": {""success"": true, ""items_in"": 2, ""items_out"": 2, ""duration_ms"": 0, ""errors"": 0, ""warnings"": 0}}"
