company,ticker,date,metric_id,value,unit,period,source_type,raw_text,v2_likely
Salesforce,CRM,2025-02-26,cm_arr,900000000,currency,FY2025,text,"We ended this year with $900 million in Data Cloud and AI ARR, it grew a 120% year-over-year.",yes
Salesforce,CRM,2025-02-26,cm_customers_period_end,3000,count,Q4 FY2025,text,"just 90 days after it went live, we already have 3,000 paying Agentforce customers",yes
Salesforce,CRM,2025-02-26,cm_arr,5700000000,currency,FY2025,text,"Our industry business along with public sector and .org finished the year at an incredible $5.7 billion in ARR, up 20% year-over-year.",yes
Salesforce,CRM,2025-02-26,cm_customer_churn_rate,0.08,percent,Q4 FY2025,text,"Q4 revenue attrition ended the quarter slightly above 8%, in line with recent quarters.",yes
Salesforce,CRM,2025-02-26,cm_large_customers_period_end,400,count,Q4 FY2025,text,"In Q4, we closed more than 400 deals over a million.",maybe
Meta Platforms,META,2025-04-30,cm_daily_active_users,3400000000,count,Q1 2025,text,more than 3.4 billion people now using at least one of our apps each day,yes
Meta Platforms,META,2025-04-30,cm_daily_active_users,3400000000,count,March 2025,text,we estimate more than 3.4 billion people used at least one of our Family of Apps on a daily basis in March,yes
Meta Platforms,META,2025-04-30,cm_monthly_active_users,3000000000,count,Q1 2025,text,WhatsApp now has more than 3 billion monthly actives,yes
Meta Platforms,META,2025-04-30,cm_monthly_active_users,350000000,count,Q1 2025,text,Threads now also has more than 350 million monthly actives,yes
Meta Platforms,META,2025-04-30,cm_monthly_active_users,1000000000,count,Q1 2025,text,Messenger is also used by more than a billion people each month,yes
Meta Platforms,META,2025-04-30,cm_monthly_active_users,1000000000,count,Q1 2025,text,Across our apps there are now almost a billion monthly actives using Meta AI.,yes
Meta Platforms,META,2025-04-30,cm_active_customers_total,100000000,count,Q1 2025,text,we have more than 100 million people use WhatsApp in the United States,maybe
Meta Platforms,META,2025-04-30,cm_monthly_active_users,,count,Q1 2025,text,RayBan Meta AI glasses with over 4 times as many monthly actives as a year ago,yes
T-Mobile US,TMUS,2025-04-24,cm_new_customers_acquired,1300000,count,Q1 2025,text,1.3 million total postpaid net additions,maybe
T-Mobile US,TMUS,2025-04-24,cm_new_customers_acquired,495000,count,Q1 2025,text,"We also led the industry once again in postpaid phones adding 495,000.",maybe
